ID,Title,Work Item Type,Iteration Path,Assigned To,State,Description
1,股市走勢圖用戶界面設計,Feature,基本功能實現,未分配,New,
2,即時股市走勢圖開發,Feature,基本功能實現,未分配,New,
3,歷史數據分析,Feature,基本功能實現,未分配,New,
4,各大指數、個股、行業板塊的趨勢圖,Feature,基本功能實現,未分配,New,
5,市場新聞和分析報告,Feature,基本功能實現,未分配,New,
6,個股詳細資料顯示,Feature,基本功能實現,未分配,New,
7,基本成本收益分析功能,Feature,基本功能實現,未分配,New,
8,股息計算,Feature,基本功能實現,未分配,New,
9,管理費用和匯率影響分析,Feature,基本功能實現,未分配,New,
10,收益報表和可視化圖表,Feature,基本功能實現,未分配,New,
11,多支股票走勢圖比較,Feature,基本功能實現,未分配,New,
12,基本面和技術面指標比較,Feature,基本功能實現,未分配,New,
13,股票篩選和比較,Feature,基本功能實現,未分配,New,
14,比較報告生成和導出,Feature,基本功能實現,未分配,New,
15,投資組合建立和管理,Feature,高級功能開發,未分配,New,
16,自動追蹤投資組合表現,Feature,高級功能開發,未分配,New,
17,組合內股票盈虧分析,Feature,高級功能開發,未分配,New,
18,投資組合風險評估和建議,Feature,高級功能開發,未分配,New,
19,股價提醒功能,Feature,高級功能開發,未分配,New,
20,市場新聞和公告通知,Feature,高級功能開發,未分配,New,
21,投資組合變動通知,Feature,高級功能開發,未分配,New,
22,個性化儀表板,Feature,高級功能開發,未分配,New,
23,自訂股市走勢圖和報表,Feature,高級功能開發,未分配,New,
24,股票收藏和追蹤,Feature,高級功能開發,未分配,New,
25,自定義技術分析工具,Feature,高級功能
